No.,Feature name,Feature definition
77,roic,Annual earnings before interest and taxes (ebit) minus nonoperating income (nopi) divided by non-cash enterprise value (ceq+lt-che)
78,rsup,Sales from quarter t minus sales from quarter t-4 (saleq) divided by fiscal-quarter-end market capitalization (cshoq * prccq)
79,salecash,Annual sales divided by cash and cash equivalents
80,saleinv,Annual sales divided by total inventory
81,salerec,Annual sales divided by accounts receivable
82,secured,Total liability scaled secured debt
83,securedind,An indicator equal to 1 if company has secured debt obligations
84,sgr,Annual percent change in sales (sale)
85,sin,"An indicator variable equal to 1 if a company’s primary industry classification is in smoke or tobacco, beer or alcohol, or gaming"
86,sp,Annual revenue (sale) divided by fiscal year-end market capitalization
87,std_dolvol,Monthly standard deviation of daily dollar trading volume
88,std_turn,Monthly standard deviation of daily share turnover
89,stdacc,"Standard deviation for 16 quarters of accruals (acc measured with quarterly Compustat) scaled by sales; if saleq = 0, then scale by 0.01"
90,stdcf,"Standard deviation for 16 quarters of cash flows divided by sales (saleq); if saleq = 0, then scale by 0.01. Cash flows defined as ibq minus quarterly accruals"
91,tang,Cash holdings + 0.715 × receivables +0.547 × inventory + 0.535 × PPE/ totl assets
92,tb,"Tax income, calculated from current tax expense divided by maximum federal tax rate, divided by income before extraordinary items"
93,turn,Average monthly trading volume for most recent 3 months scaled by number of shares outstanding in current month
94,zerotrade,Turnover weighted number of zero trading days for most recent 1 month
