No.,Feature name,Feature definition
137,DPI2A,Cross sectional Median of DPI2A
138,E2P,Cross sectional Median of E2P
139,FC2Y,Cross sectional Median of FC2Y
140,IdioVol,Cross sectional Median of IdioVol
141,Investment,Cross sectional Median of Investment
142,Lev,Cross sectional Median of Lev
143,LME,Cross sectional Median of LME
144,LT_Rev,Cross sectional Median of LT_Rev
145,LTurnover,Cross sectional Median of LTurnover
146,MktBeta,Cross sectional Median of MktBeta
147,NI,Cross sectional Median of NI
148,NOA,Cross sectional Median of NOA
149,OA,Cross sectional Median of OA
150,OL,Cross sectional Median of OL
151,OP,Cross sectional Median of OP
152,PCM,Cross sectional Median of PCM
153,PM,Cross sectional Median of PM
154,PROF,Cross sectional Median of PROF
155,Q,Cross sectional Median of Q
156,r2_1,Cross sectional Median of r2_1
157,r12_2,Cross sectional Median of r12_2
158,r12_7,Cross sectional Median of r12_7
159,r36_13,Cross sectional Median of r36_13
160,Rel2High,Cross sectional Median of Rel2High
161,Resid,Cross sectional Median of Resid_Var
162,RNA,Cross sectional Median of RNA
163,ROA,Cross sectional Median of ROA
164,ROE,Cross sectional Median of ROE
165,S2P,Cross sectional Median of S2P
166,SGA2S,Cross sectional Median of SGA2S
167,Spread,Cross sectional Median of Spread
168,ST_REV,Cross sectional Median of ST_REV
169,SUV,Cross sectional Median of SUV
170,Variance,Cross sectional Median of Variance
171,dp,Dividend-price ratio   
172,ep,Earnings-price ratio   
173,bm,Book-to-market ratio   
174,ntis,Net equity expansion  
175,tbl,Treasury-bill rate   
176,tms,Term spread   
177,dfy,Default spread   
178,svar,Stock variance   
