No.,Paper no.,Feature name,Feature definition,Category,Data source,Frequency,Formula,Comments (Referenced in other papers),,,,,,,,,,,,,,,,,
22,1,chtx,Percent change in total taxes (txtq) from quartert-4 to t,Stock-level variable,Compustat,Quarterly,(txtq-lag4(txtq))/lag4(atq),,,,,,,,,,,,,,,,,,
23,1,cinvest,"Change over one quarter in net PP&E (ppentq) divided by sales (saleq) - average of this variable for prior 3 quarters; if saleq = 0, then scale by 0.01",Stock-level variable,Compustat,Quarterly,"((ppentq-lag(ppentq))/saleq)-mean(((lag(ppentq)-lag2(ppentq))/lag(saleq)),((lag2(ppentq)-lag3(ppentq))/lag2(saleq)),((lag3(ppentq)-lag4(ppentq))/lag3(saleq)));
if saleq<=0 then cinvest=((ppentq-lag(ppentq))/.01)-mean(((lag(ppentq)-lag2(ppentq))/(.01)),((lag2(ppentq)-lag3(ppentq))/(.01)),((lag3(ppentq)-lag4(ppentq))/(.01)));",,,,,,,,,,,,,,,,,,
24,1,convind,An indicator equal to 1 if company has convertible debt obligations,Stock-level variable,Compustat,Annual,if not missing(dc) and dc ne 0 or (not missing(cshrc) and CSHRC ne 0) then convind=1; else convind=0;,,,,,,,,,,,,,,,,,,
25,1,currat,Current assets / current liabilities,Stock-level variable,Compustat,Annual,act/lct,,,,,,,,,,,,,,,,,,
26,1,depr,Depreciation divided by PP&E,Stock-level variable,Compustat,Annual,dp/ppent,,,,,,,,,,,,,,,,,,
27,1,divi,An indicator variable equal to 1 if company pays dividends but did not in prior year,Stock-level variable,Compustat,Annual,if (not missing(dvt) and dvt>0) and (lag(dvt)=0 or missing(lag(dvt))) then divi=1; else divi=0,,,,,,,,,,,,,,,,,,
28,1,divo,An indicator variable equal to 1 if company does not pay dividend but did in prior year,Stock-level variable,Compustat,Annual,if (missing(dvt) or dvt=0) and (lag(dvt)>0 and not missing(lag(dvt))) then divo=1; else divo=0,,,,,,,,,,,,,,,,,,
29,1,dolvol,Natural log of trading volume times price per share from month t-2,Stock-level variable,CRSP,Monthly,log(lag2(vol)*lag2(prc)),,,,,,,,,,,,,,,,,,
30,1,dy,Total dividends (dvt) divided by market capitalization at fiscal year-end,Stock-level variable,Compustat,Annual,dvt/mve_f,,,,,,,,,,,,,,,,,,
31,1,ear,Sum of daily returns in three days around earnings announcement. Earnings announcement from Compustat quarterly file (rdq),Stock-level variable,Compustat+CRSP,Quarterly,sum(ret),,,,,,,,,,,,,,,,,,
32,1,egr,Annual percent change in book value of equity (ceq),Stock-level variable,Compustat,Annual,( (ceq-lag(ceq))/lag(ceq) ),,,,,,,,,,,,,,,,,,
33,1,ep,Annual income before extraordinary items (ib) divided by end of fiscal year market cap,Stock-level variable,Compustat,Annual,ib/mve_f,,,,,,,,,,,,,,,,,,
34,1,gma,Revenues (revt) minus cost of goods sold (cogs) divided by lagged total assets (at),Stock-level variable,Compustat,Annual,(revt-cogs)/lag(at),,,,,,,,,,,,,,,,,,
35,1,grCAPX,Percent change in capital expenditures from yeart-2 to year t,Stock-level variable,Compustat,Annual,"(capx-lag2(capx))/lag2(capx);
if missing(capx) and count>=2 then capx=ppent-lag(ppent)
",,,,,,,,,,,,,,,,,,
36,1,grltnoa,Growth in long-term net operating assets,Stock-level variable,Compustat,Annual,((rect+invt+ppent+aco+intan+ao-ap-lco-lo)-(lag(rect)+lag(invt)+lag(ppent)+lag(aco)+lag(intan)+lag(ao)-lag(ap)-lag(lco)-lag(lo))- rect-lag(rect)+invt-lag(invt)+aco-lag(aco)-(ap-lag(ap)+lco-lag(lco)) -dp ))/((at+lag(at))/2),,,,,,,,,,,,,,,,,,
37,1,herf,2-digit SIC - fiscal-year sales concentration (sum of squared percent of sales in industry for each company).,Stock-level variable,Compustat,Annual,sum( (sale/indsale)*(sale/indsale) ),,,,,,,,,,,,,,,,,,
38,1,hire,Percent change in number of employees (emp),Stock-level variable,Compustat,Annual,(emp-lag(emp))/lag(emp);if missing(emp) or missing(lag(emp)) then hire=0;,,,,,,,,,,,,,,,,,,
39,1,idiovol,Standard deviation of residuals of weekly returns on weekly equal weighted market returns for 3 years prior to month end,Stock-level variable,CRSP,Monthly,std(idioret),,,,,,,,,,,,,,,,,,
40,1,ill,Average of daily (absolute return / dollar volume).,Stock-level variable,CRSP,Monthly,mean(abs(ret)/(abs(prc)*vol)),,,,,,,,,,,,,,,,,,
41,1,indmom,Equal weighted average industry 12-month returns,Stock-level variable,CRSP,Monthly,mean(mom12m),,,,,,,,,,,,,,,,,,
42,1,invest,"Annual change in gross property, plant, and equipment (ppegt) + annual change in inventories (invt) all scaled by lagged total assets (at)",Stock-level variable,Compustat,Annual,( (ppegt-lag(ppegt)) + (invt-lag(invt)) ) / lag(at); if missing(ppegt) then invest=( (ppent-lag(ppent)) + (invt-lag(invt)))/ lag(at),,,,,,,,,,,,,,,,,,
43,1,lev,Total liabilities (lt) divided by fiscal year-end market capitalization,Stock-level variable,Compustat,Annual,lt/mve_f,,,,,,,,,,,,,,,,,,
44,1,lgr,Annual percent change in total liabilities (lt),Stock-level variable,Compustat,Annual,(lt/lag(lt))-1,,,,,,,,,,,,,,,,,,
45,1,maxret,Maximum daily return from returns during calendar month t-1,Stock-level variable,CRSP,Monthly,max(ret),,,,,,,,,,,,,,,,,,
46,1,mom12m,11-month cumulative returns ending one month before month end,Stock-level variable,CRSP,Monthly,"( (1+lag2(ret))*(1+lag3(ret))*(1+lag4(ret))*(1+lag5(ret))*(1+lag6(ret))*
(1+lag7(ret))*(1+lag8(ret))*(1+lag9(ret))*(1+lag10(ret))*(1+lag11(ret))*(1+lag12(ret)) ) - 1",,,,,,,,,,,,,,,,,,
47,1,mom1m,1-month cumulative return,Stock-level variable,CRSP,Monthly,lag(ret),,,,,,,,,,,,,,,,,,
48,1,mom36m,Cumulative returns from monthst-36 to t-13,Stock-level variable,CRSP,Monthly,"( (1+lag13(ret))*(1+lag14(ret))*(1+lag15(ret))*(1+lag16(ret))*(1+lag17(ret))*(1+lag18(ret)) * 
(1+lag19(ret))*(1+lag20(ret))*(1+lag21(ret))*(1+lag22(ret))*(1+lag23(ret))*(1+lag24(ret))* 
(1+lag25(ret))*(1+lag26(ret))*(1+lag27(ret))*(1+lag28(ret))*(1+lag29(ret))*(1+lag30(ret)) * 
(1+lag31(ret))*(1+lag32(ret))*(1+lag33(ret))*(1+lag34(ret))*(1+lag35(ret))*(1+lag36(ret)) ) - 1",,,,,,,,,,,,,,,,,,
49,1,mom6m,5-month cumulative returns ending one month before month end,Stock-level variable,CRSP,Monthly,( (1+lag2(ret))*(1+lag3(ret))*(1+lag4(ret))*(1+lag5(ret))*(1+lag6(ret)) ) - 1,,,,,,,,,,,,,,,,,,
50,1,ms,Sum of 8 indicator variables for fundamental performance,Stock-level variable,Compustat,Quarterly,"m1+m2+m3+m4+m5+m6+m7+m8;
if roa>md_roa then m1=1; else m1=0;
if cfroa>md_cfroa then m2=1; else m2=0;
if oancf>ni then m3=1; else m3=0;
if xrdint>md_xrdint then m4=1; else m4=0;
if capxint>md_capxint then m5=1; else m5=0;
if xadint>md_xadint then m6=1; else m6=0;
if roavol<md_roavol then m7=1; else m7=0;
if sgrvol<md_sgrvol then m8=1; else m8=0;",,,,,,,,,,,,,,,,,,
51,1,mve,Natural log of market capitalization at end of month t-1,Stock-level variable,CRSP,Monthly,log(mve_m) ----or log(mve_f),,,,,,,,,,,,,,,,,,
52,1,mve_ia,2-digit SIC industry-adjusted fiscal year-end market capitalization,Stock-level variable,Compustat,Annual,mve_f-mean(mve_f),,,,,,,,,,,,,,,,,,
53,1,nincr,Number of consecutive quarters (up to eight quarters) with an increase in earnings (ibq) over same quarter in the prior year,Stock-level variable,Compustat,Quarterly,"( (ibq>lag(ibq))
+ (ibq>lag(ibq))*(lag(ibq)>lag2(ibq))
+ (ibq>lag(ibq))*(lag(ibq)>lag2(ibq))*(lag2(ibq)>lag3(ibq))
+ (ibq>lag(ibq))*(lag(ibq)>lag2(ibq))*(lag2(ibq)>lag3(ibq))*(lag3(ibq)>lag4(ibq))
+ (ibq>lag(ibq))*(lag(ibq)>lag2(ibq))*(lag2(ibq)>lag3(ibq))*(lag3(ibq)>lag4(ibq))*(lag4(ibq)>lag5(ibq))
+ (ibq>lag(ibq))*(lag(ibq)>lag2(ibq))*(lag2(ibq)>lag3(ibq))*(lag3(ibq)>lag4(ibq))*(lag4(ibq)>lag5(ibq))*(lag5(ibq)>lag6(ibq))
+ (ibq>lag(ibq))*(lag(ibq)>lag2(ibq))*(lag2(ibq)>lag3(ibq))*(lag3(ibq)>lag4(ibq))*(lag4(ibq)>lag5(ibq))*(lag5(ibq)>lag6(ibq))*(lag6(ibq)>lag7(ibq))
+ (ibq>lag(ibq))*(lag(ibq)>lag2(ibq))*(lag2(ibq)>lag3(ibq))*(lag3(ibq)>lag4(ibq))*(lag4(ibq)>lag5(ibq))*(lag5(ibq)>lag6(ibq))*(lag6(ibq)>lag7(ibq))*(lag7(ibq)>lag8(ibq)) )",,,,,,,,,,,,,,,,,,
54,1,operprof,Revenue minus cost of goods sold - SG&A expense - interest expense divided by lagged common shareholders’ equity,Stock-level variable,Compustat,Annual,(revt-cogs-xsga0-xint0)/lag(ceq),,,,,,,,,,,,,,,,,,
55,1,orgcap,Capitalized SG&A expenses,Stock-level variable,Compustat,Annual,"if first.gvkey then orgcap_1=(xsga/cpi)/(.1+.15);
else orgcap_1=orgcap_1*(1-.15)+xsga/cpi;
orgcap=orgcap_1/avgat;
if count=1 then orgcap=.;",,,,,,,,,,,,,,,,,,
56,1,pchcapx_ia,2-digit SIC - fiscal-year mean-adjusted percent change in capital expenditures (capx),Stock-level variable,Compustat,Annual,pchcapx-mean(pchcapx),,,,,,,,,,,,,,,,,,
57,1,pchcurrat,Percent change in currat.,Stock-level variable,Compustat,Annual,((act/lct)-(lag(act)/lag(lct)))/(lag(act)/lag(lct)),,,,,,,,,,,,,,,,,,
58,1,pchdepr,Percent change in depr,Stock-level variable,Compustat,Annual,((dp/ppent)-(lag(dp)/lag(ppent)))/(lag(dp)/lag(ppent)),,,,,,,,,,,,,,,,,,
59,1,pchgm_pchsale,Percent change in gross margin (sale-cogs) minus percent change in sales (sale),Stock-level variable,Compustat,Annual,(((sale-cogs)-(lag(sale)-lag(cogs)))/(lag(sale)-lag(cogs)))-((sale-lag(sale))/lag(sale)),,,,,,,,,,,,,,,,,,
60,1,pchquick,Percent change in quick,Stock-level variable,Compustat,Annual,( (act-invt)/lct - (lag(act)-lag(invt))/lag(lct) )/ ( ( lag(act)-lag(invt) )/lag(lct) ),,,,,,,,,,,,,,,,,,
61,1,pchsale_pchinvt,Annual percent change in sales (sale) minus annual percent change in inventory (invt).,Stock-level variable,Compustat,Annual,((sale-lag(sale))/lag(sale))-((invt-lag(invt))/lag(invt)),,,,,,,,,,,,,,,,,,
62,1,pchsale_pchrect,Annual percent change in sales (sale) minus annual percent change in receivables (rect),Stock-level variable,Compustat,Annual,((sale-lag(sale))/lag(sale))-((rect-lag(rect))/lag(rect)),,,,,,,,,,,,,,,,,,
63,1,pchsale_pchxsga,Annual percent change in sales (sale) minus annual percent change in SG&A (xsga),Stock-level variable,Compustat,Annual,( (sale-lag(sale))/lag(sale) )-( (xsga-lag(xsga)) /lag(xsga) ),,,,,,,,,,,,,,,,,,
64,1,pchsaleinv,Percent change in saleinv,Stock-level variable,Compustat,Annual,( (sale/invt)-(lag(sale)/lag(invt)) ) / (lag(sale)/lag(invt)),,,,,,,,,,,,,,,,,,
65,1,pctacc,Same as acc except that the numerator is divided by the absolute value of ib; if ib = 0 then ib set to 0.01 for denominator,Stock-level variable,Compustat,Annual,"(ib-oancf)/abs(ib);if ib=0 then pctacc=(ib-oancf)/.01
if missing(oancf) then pctacc=( (act-lag(act) - (che-lag(che))) - ( (lct-lag(lct))-(dlc-lag(dlc))-(txp-lag(txp))-dp ) )/abs(ib);
if missing(oancf) and ib=0 then pctacc=( (act-lag(act) - (che-lag(che))) - ( (lct-lag(lct))-(dlc-lag(dlc))-(txp-lag(txp))-dp ) )/.01;",,,,,,,,,,,,,,,,,,
66,1,pricedelay,The proportion of variation in weekly returns for 36 months ending in montht explained by 4 lags of weekly market returns incremental to contemporaneous market return,Stock-level variable,CRSP,Monthly,1-( rsq1 / _adjrsq_),,,,,,,,,,,,,,,,,,
67,1,ps,Sum of 9 indicator variables to form fundamental health score,Stock-level variable,Compustat,Annual,(ni>0)+(oancf>0)+(ni/at > lag(ni)/lag(at))+(oancf>ni)+(dltt/at < lag(dltt)/lag(at))+(act/lct > lag(act)/lag(lct)) +((sale-cogs)/sale > (lag(sale)-lag(cogs))/lag(sale))+ (sale/at > lag(sale)/lag(at))+ (scstkc=0),,,,,,,,,,,,,,,,,,
68,1,quick,(current assets - inventory) / current liabilities,Stock-level variable,Compustat,Annual,(act-invt)/lct,,,,,,,,,,,,,,,,,,
69,1,rd,An indicator variable equal to 1 if R&D expense as a percentage of total assets has an increase greater than 5%.,Stock-level variable,Compustat,Annual,if ((xrd/at)-(lag(xrd/lag(at))))/(lag(xrd/lag(at))) >.05 then rd=1; else rd=0,,,,,,,,,,,,,,,,,,
70,1,rd_mve,R&D expense divided by end-of-fiscal-year market capitalization,Stock-level variable,Compustat,Annual,xrd/mve_f,,,,,,,,,,,,,,,,,,
71,1,rd_sale,R&D expense divided by sales (xrd/sale),Stock-level variable,Compustat,Annual,xrd/sale,,,,,,,,,,,,,,,,,,
72,1,realestate,Buildings and capitalized leases divided by gross PP&E,Stock-level variable,Compustat,Annual,(fatb+fatl)/ppegt;if missing(ppegt) then realestate=(fatb+fatl)/ppent,,,,,,,,,,,,,,,,,,
73,1,retvol,Standard deviation of daily returns from month t-1,Stock-level variable,CRSP,Monthly,std(ret),,,,,,,,,,,,,,,,,,
74,1,roaq,Income before extraordinary items (ibq) divided by one quarter lagged total assets (atq),Stock-level variable,Compustat,Quarterly,ibq/lag(atq),,,,,,,,,,,,,,,,,,
75,1,roavol,Standard deviation for 16 quarters of income before extraordinary items (ibq) divided by average total assets (atq),Stock-level variable,Compustat,Quarterly,"std(roaq,lag(roaq),lag2(roaq),lag3(roaq),lag4(roaq),lag5(roaq),lag6(roaq),lag7(roaq), lag8(roaq),lag9(roaq),lag10(roaq),lag11(roaq),lag12(roaq),lag13(roaq),lag14(roaq),lag15(roaq))",,,,,,,,,,,,,,,,,,
76,1,roeq,Earnings before extraordinary items divided by lagged common shareholders’ equity,Stock-level variable,Compustat,Quarterly,(ibq)/lag(scal),,,,,,,,,,,,,,,,,,
77,1,roic,Annual earnings before interest and taxes (ebit) minus nonoperating income (nopi) divided by non-cash enterprise value (ceq+lt-che),Stock-level variable,Compustat,Annual,(ebit-nopi)/(ceq+lt-che),,,,,,,,,,,,,,,,,,
78,1,rsup,Sales from quarter t minus sales from quarter t-4 (saleq) divided by fiscal-quarter-end market capitalization (cshoq * prccq),Stock-level variable,Compustat,Quarterly,(saleq-lag4(saleq))/mveq,,,,,,,,,,,,,,,,,,
79,1,salecash,Annual sales divided by cash and cash equivalents,Stock-level variable,Compustat,Annual,sale/che,,,,,,,,,,,,,,,,,,
80,1,saleinv,Annual sales divided by total inventory,Stock-level variable,Compustat,Annual,sale/invt,,,,,,,,,,,,,,,,,,
81,1,salerec,Annual sales divided by accounts receivable,Stock-level variable,Compustat,Annual,sale/rect,,,,,,,,,,,,,,,,,,
82,1,secured,Total liability scaled secured debt,Stock-level variable,Compustat,Annual,dm/dltt,,,,,,,,,,,,,,,,,,
83,1,securedind,An indicator equal to 1 if company has secured debt obligations,Stock-level variable,Compustat,Annual,if not missing(dm) and dm ne 0 then securedind=1; else securedind=0,,,,,,,,,,,,,,,,,,
84,1,sgr,Annual percent change in sales (sale),Stock-level variable,Compustat,Annual,(sale/lag(sale))-1,,,,,,,,,,,,,,,,,,
85,1,sin,"An indicator variable equal to 1 if a company’s primary industry classification is in smoke or tobacco, beer or alcohol, or gaming",Stock-level variable,Compustat,Annual,"if (2100<=sic<=2199) or (2080<=sic<=2085) or (naics in ('7132','71312','713210','71329','713290','72112','721120')) then sin=1; else sin=0",,,,,,,,,,,,,,,,,,
86,1,sp,Annual revenue (sale) divided by fiscal year-end market capitalization,Stock-level variable,Compustat,Annual,sale/mve_f,,,,,,,,,,,,,,,,,,
87,1,std_dolvol,Monthly standard deviation of daily dollar trading volume,Stock-level variable,CRSP,Monthly,std(log(abs(prc*vol))),,,,,,,,,,,,,,,,,,
88,1,std_turn,Monthly standard deviation of daily share turnover,Stock-level variable,CRSP,Monthly,std(vol/shrout),,,,,,,,,,,,,,,,,,
89,1,stdacc,"Standard deviation for 16 quarters of accruals (acc measured with quarterly Compustat) scaled by sales; if saleq = 0, then scale by 0.01",Stock-level variable,Compustat,Quarterly,"std(sacc,lag(sacc),lag2(sacc),lag3(sacc),lag4(sacc),lag5(sacc),lag6(sacc),lag7(sacc), lag8(sacc),lag9(sacc),lag10(sacc),lag11(sacc),lag12(sacc),lag13(sacc),lag14(sacc),lag15(sacc))",,,,,,,,,,,,,,,,,,
90,1,stdcf,"Standard deviation for 16 quarters of cash flows divided by sales (saleq); if saleq = 0, then scale by 0.01. Cash flows defined as ibq minus quarterly accruals",Stock-level variable,Compustat,Quarterly,"std(scf,lag(scf),lag2(scf),lag3(scf),lag4(scf),lag5(scf),lag6(scf),lag7(scf), lag8(scf),lag9(scf),lag10(scf),lag11(scf),lag12(scf),lag13(scf),lag14(scf),lag15(scf))",,,,,,,,,,,,,,,,,,
91,1,tang,Cash holdings + 0.715 × receivables +0.547 × inventory + 0.535 × PPE/ totl assets,Stock-level variable,Compustat,Annual,(che+rect*0.715+invt*0.547+ppent*0.535)/at,,,,,,,,,,,,,,,,,,
92,1,tb,"Tax income, calculated from current tax expense divided by maximum federal tax rate, divided by income before extraordinary items",Stock-level variable,Compustat,Annual,tb_1-mean(tb_1),,,,,,,,,,,,,,,,,,
93,1,turn,Average monthly trading volume for most recent 3 months scaled by number of shares outstanding in current month,Stock-level variable,CRSP,Monthly,"mean(lag(vol),lag2(vol),lag3(vol))/shrout",,,,,,,,,,,,,,,,,,
94,1,zerotrade,Turnover weighted number of zero trading days for most recent 1 month,Stock-level variable,CRSP,Monthly,(countzero+((1/turn_alt)/480000))*21/ndays,,,,,,,,,,,,,,,,,,
95,2,Stock returns,S&P 500 index returns from Center for Research in Security Press (CRSP) month-end values,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
96,2,Risk-free Rate,Treasury-bill rate,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
97,2,Dividend Price Ratio (d/p),the difference between the log of dividends and the log of prices,Macro variables,FRED-MD/CRSP/Compustat,Monthly,log(d/p),,,,,,,,,,,,,,,,,,
98,2,The Dividend Yield (d/y),the difference between the log of dividends and the log of lagged prices,Macro variables,FRED-MD/CRSP/Compustat,Monthly,log(d/y),,,,,,,,,,,,,,,,,,
99,2,Earnings,12-month moving sums of earnings on the S&P 500 index,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
100,2,Earnings Price Ratio (e/p),difference between the log of earnings and the log of price,Macro variables,FRED-MD/CRSP/Compustat,Monthly,log(e/p),,,,,,,,,,,,,,,,,,
101,2,Dividend Payout Ratio (d/e),difference between the log of dividends and the log of earnings,Macro variables,FRED-MD/CRSP/Compustat,Monthly,log(d/e),,,,,,,,,,,,,,,,,,
102,2,Stock Variance (svar),sum of squared daily returns on the S&P 500.,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
103,2,Cross-Sectional Premium (csp) ,relative valuations of high- and low-beta stocks,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
104,2,Book Value,book value,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
105,2,Book-to- Market Ratio (b/m),book value to market value for the Dow Jones Industrial Average,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
106,2,Net Equity Expansion (ntis),12-month moving sums of net issues by NYSE listed stocks divided by the total end-of-year market capitalization of NYSE stocks,Macro variables,FRED-MD/CRSP/Compustat,Monthly,"Net Issue, = Mcap(t) - Mcap(t-1)x (1 + vwretx(t))",,,,,,,,,,,,,,,,,,
107,2,Percent Equity Issuing (equis),ratio of equity issuing activity as a fraction of total issuing activity,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
108,2,Long Term Yield (lty),long-term government bond yield,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
109,2,Corporate Bond Returns,long-term corporate bond returns,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
110,2,Inflation (infl),Consumer price index from bureau of labour statistics,Macro variables,Bureau of Labour Statistics,Monthly,N/A,,,,,,,,,,,,,,,,,,
111,2,Investment to Capital Ratio (i/k),ratio of aggregate (private nonresidential fixed) investment to aggregate capital for the whole economy,Macro variables,FRED-MD/CRSP/Compustat,Monthly,N/A,,,,,,,,,,,,,,,,,,
112,3,A2ME,Total assets to Size,Value,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
113,3,AOA,Absolute value of operating accruals,Intangibles,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
114,3,AT,Total assets,Trading frictions,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
115,3,ATO,Sales to lagged net operating assets,Profitability,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
116,3,BEME,Book to market ratio,Value,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
117,3,BEMEadj,BEME - mean BEME in Fama-French 48 industry,Value,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
118,3,Beta,Correlation × ratio of vols,Trading frictions,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
119,3,Beta daily,CAPM beta using daily returns,Trading frictions,CRSP,Daily,Refer to online appendix,,,,,,,,,,,,,,,,,,
120,3,C,Cash to AT,Value,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
121,3,C2D,Cash flow to total liabilities,Value,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
122,3,Change in (Change in GM - Change in Sales), (% change in gross margin and % change in sales),Profitability,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
123,3,Change in CEQ,% change in BE,Investment,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
124,3,Change in PI2A,Change in PP&E and inventory over lagged AT,Investment,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
125,3,Change in Shrout,% change in shares outstanding,Investment,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
126,3,Change in SO,Log change in split-adjusted shares outstanding,Value,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
127,3,CTO,Sales to lagged total assets,Profitability,CRSP,Monthly,Refer to online appendix,,,,,,,,,,,,,,,,,,
